COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 

Giant Hesperaloe 		 Hesperaloe funifera 		 Slow-ish grower eventually reaches 6' h x w. Yucca-like appearance without the spines but with filifers. 12-15' white flower spike in summer. Sun; low water. Zones 6-10. 		 HespFuni 		 6' h x w; 12-15' blm"" 		 

Silver Dune Lupine 		 Lupinus chamissonis 		 SLO County collected native. Grows 4-5' tall & wide. Silver leaves topped with purple-blue flowers. Prefers sandy soil, sun, little water. Prune in winter. Zones 9-10. 		 LupCham 		 4-5' h x w"""" 		 

Ruby Frost Tickseed 		 Coreopsis Hardy Jewel TM 'Ruby Frost' 		 USPP #PP21758. Propagation prohibited. Brilliant ruby-red & white bloom. Grows 16-26" h x 32" w. Sun, average water. Zones 6-10. 		 CorRubFrst 		 16-26" h x 32" w"""" 		 

Rainbow Maiden New Zealand Flax 		 Phormium 'Rainbow Maiden' 		 Colorful, arching leaves with pinks, salmon, red, bronze, green. Full sun to part shade, low to moderate water, well-drained soil. Grows 2-3' h x w. Zones 8-11. 		 PhorRainMd 		 2-3' h x w; arching""" 		 

Black Coral Pea 		 Kennedia nigricans 		 Australian perennial climber reaches up to 20' h x w. Unusual true black & yellow flowers. Will grow in clay soil. Sun to part sun; low to moderate water. Zones 7-10. 		 KenNgrc 		 climber to 20' h x w"" 		 

SuperTrouper TM Magenta White 		 Dianthus 'KLEDP07094' Magenta White 		 Propagation prohibited. Grows 10-14" h x 10-12" w. Silvery-gray foliage. Fragrant pink, burgundy, & white bloom. Prefers sun; well-drained soil; low water. Zones 6-10. 		 DianMagWht 		 10-14" h x 10-12" w""" 		 

Larinem Park Stonecrop 		 Sedum ternatum 'Larinem Park' 		 Low-growing to 3-6" h x 12-18" w. Native to Eastern US woodlands. Prefers shade to part sun. Tolerates moist soil. White star-shaped flowers. Can be indoors. Zones 3-9. 		 SedTernLP 		 3-6" h x 12-18" w"""" 		 

Lavender Hen & Chicks 		 Sempervivum 'Lavender' 		 Low-growing rosettes prefer sun & well-drained soil. Low water. Grows 4-6" high & spreading. Late summer bloom. Zones 3-10. 		 SempLav 		 4-6" h & spreading"""" 		 

Sea Urchin Stonecrop 		 Sedum lineare 'Sea Urchin' 		 Gray-green & white variegated, narrow leaves. Mounding form to 4" h x 24-30" w. Yellow blooms. Sun to part shade; low water; well-drained soil. Zones 6-10. 		 SedSeaUrch 		 to 4" h x 24-30" w"""" 		 

Curling Waves Sage 		 Salvia nana 'Curling Waves' 		 Dark green, bronzed leaves with spikes of indigo & white bicolor flowers. New growth is purple-bronze. Sun; low water; well-drained soil. 12-15" h x 12" w. Zones 5-9. 		 SalvCrlWv 		 12-15" h x 12" w"""" 		 

Ruby Velvet Kangaroo Paw 		 Anigozanthos 'Ruby Velvet' 		 PPAF. Propagation prohibited. Ruby-red blooms up to 3' tall. Low to moderate water; well-drained soil. Zones 9-11. 		 AnigRubVlv 		 18-36" h x 2-3' w"""" 		 

Backdraft Kangaroo Paw 		 Anigozanthos rufus Backdraft 'LAN80' 		 Fuzzy red blooms up to 36" tall by 16-24" wide. Prefers sun; low to moderate water; well-drained soil. Good cut flower. Long bloom season. Zones 10-11. 		 AnigBackD 		 red to 3' h"""" 		 

Queen Mum TM Agapanthus 		 Agapanthus 'PMN06' Queen Mum TM 		 USPP #24651. Propagation prohibited. Huge bicolor purple & white bloom to 5' tall. Sun; regular water. Zones 8-11. 		 AgaQueenM 		 to 5' h x 4' w"""" 		 

Little Jean Kangaroo Paw 		 Anigozanthos 'Little Jean' 		 Strappy, grass-like leaves. Showy, fuzzy red stems are topped by green flowers with a hint of black. Prefers sun; well-drained soil; low water. Zones 9-11. 		 AnigLitJn 		 red stem, green bloom" 		 

Variegated Jade Plant 		 Crassula ovata 'Variegata' 		 Ivory & gray-green variegation. Leaves can develop red margins in heat. Grows up to 3' h x w. Sun to part shade inland; well-drained soil; low water. Zones 10-11. 		 CrassOvVar 		 slow to 3' h x w"""" 		 

Evil Ways Butterfly Bush 		 Buddleja davidii 'Evil Ways' 		 Chartreuse leaves with fragrant, deep magenta blooms. Grows 4-5' h x w. Semi-deciduous depending on climate. Sun; moderate water; well-drained soil. Zones 5-10. 		 BuddEvilW 		 4-5' h x w; magenta""" 		 

Scarlet Monardella 		 Monardella macrantha 'Marian Sampson' 		 Low growing 3-6" h x 8-12" w. Small dark green leaves; brilliant red flowers attract hummies. Prefers part sun to light shade; well-drained soil; low water. Zones 7-10. 		 MonaMacMS 		 3-6" h x 8-12" w"""" 		 

Pillar Violet Geranium 		 Pelargonium x hortorum 'Pillar Violet' 		 Vibrant violet bloom stands out against the dark green foliage. Grows to 30" h x w. Prefers sun, well-drained soil, low water. Deadhead for best look. Zones 10-11. 		 PelPilViol 		 30" h x w; violet"""" 		 

Fancy Leaf Geranium Assortment 		 Pelargonium x 		 Assorted fancy leaf geraniums. Variety of leaf colors & flowers. Up to 30" h x w; size varies by type. Sun to part sun, well-drained soil, low water. Zones 10-11. 		 PelFancAsst 		 up to 30" h x w"""" 		 

Coral Bells 		 Heuchera sanguinea 'Splendens' 		 Old-fashioned type; Clump-forming to 12-18" h x w. Red blooms over green foliage. Prefers part shade, low to moderate water, well-drained soil. Zones 5-10. 		 HeucSangSp 		 12-18" h x w; red"""" 		 

White Catmint 		 Nepeta x faassenii 'Alba' 		 Mounding form 18-24" h x 24-36" w. White blooms stand out against fragrant gray foliage. Sun, low to moderate water, well-drained soil. Zones 5-10. 		 NepAlba 		 18-24" h x 24-36" w""" 		 

Pi±a Colada Mirror Plant 		 Coprosma repens 'Pi±a Colada' 		 USPP 21032. Patented. Propagation prohibited. Grows to 4' h x w. Colorful foliage ranges from creams & greens to oranges. Sun to part sun; moderate water. Zones 9-11. 		 CoprosPC 		 to 4' h x w"""" 		 

Lemon Popsicle Dwarf Poker 		 Kniphofia 'Lemon Popsicle' 		 PPAF. Propagation prohibited. To 22" h x 14" w. Lemon-yellow bloom. Sun; moderate water. Zones 6-9. 		 KnipLemPop 		 22" h x 14" w; yellow" 		 

Creamsicle Dwarf Poker 		 Kniphofia 'Creamsicle' 		 PPAF. Propagation prohibited. To 22" h x 16" w. Soft orange bloom. Sun; moderate water. Zones 6-9. 		 KnipCream 		 22"h x 16" w; orange"" 		 

Papaya Popsicle Dwarf Poker 		 Kniphofia 'Papaya Popsicle' 		 PPAF. Propagation prohibited. To 20" h x 18" w. Bright orange bloom. Sun; moderate water. Zones 6-9. 		 KnipPapaya 		 20" h x 18" w; orange" 		 

Our Lord's Candle 		 Yucca whipplei - Reservoir Cyn 		 Local collection. 2-3' h x w. Gray-green leaves 1-2' long; very spiny tips. 6-14' flower stalks w/ profuse 1-2" creamy flowers. Sun; very dry. Zones 8-11. 		 YucWhiRes 		 2-3' w x 6-14' flower" 		 

Tree Grape 		 Cyphostemma juttae 		 Deciduous succulent from Namibia with peeling, papery bark.. Slow grower to 4-7' high.  Berries are NOT edible. Sun, heat, low water; keep dry in winter. Zones 9b-11. 		 CyphJut 		 4-7' h; NOT edible"""" 		 

Red Hot Poker Mix 		 Kniphofia x 		 Open-pollinated assortment. Prefers sun, moderate water, well-drained soil. Flowers can range from creams & yellows to oranges & reds. Zones 6-10. 		 KniphMix 		 assortment; 2-3'+ h""" 		 

Crassula 		 Crassula cephalophora var. dubia 		 Interesting silvery-blue paddle-like leaf clusters. Grows 12-18" h x 12" w. Sun to part sun inland; low water; well-drained soil. Let dry between watering. Zones 9b-12. 		 CrassCeph 		 12-18" h x 12" w"""" 		 

Red Cobweb Hen & Chicks 		 Sempervivum arachnoideum 'Rubrum' 		 Tiny cobwebbed rosettes flush red in heat or cold stress. Grows to 4" h x 12" w. Deep pink blooms in late summer. Prefers sun, well-drained soil, low water. Zones 4-10. 		 SempAchRu 		 4" h x 12" w"""" 		 

Rita Jane Hen & Chicks 		 Sempervivum 'Rita Jane' 		 Gold-green rosettes tipped with purple; best color in heat or cold stress. Grows 4-6" h x 12" w. Pink blooms. Sun to part sun, well-drained soil, low water. Zones 5-10. 		 SempRitaJ 		 4-6" h x 12" w"""" 		 

Jewel of Desert Peridot Ice Plant 		 Delosperma cooperi 'Jewel of Desert Peridot' 		 USPP #23566. Patented. Propagation prohibited. Low-growing succulent. Profuse yellow flowers with white eye. Sun; low water, well-drained soil. Zones 4-10. 		 DelPeridot 		 4-6" h x 8" w, yellow" 		 

Wheels of Wonder Orange Ice Plant 		 Delosperma nubigenum 'WOWDOY3' Orange 		 USPPP.  Propagation prohibited. Low-growing succulent. Profuse orange flowers. Sun; low water, well-drained soil. Zones 5-10. 		 DelOrange 		 6-8" h x 24" w, orange 		 

Jewel of Desert Moonstone Ice Plant 		 Delosperma cooperi 'Jewel of Desert Moonstone' 		 USPP #23491. Patented. Propagation prohibited. Low-growing succulent. Profuse white flowers. Sun; low water, well-drained soil. Zones 4-10. 		 DelMoonSt 		 4-6" h x 8" w, white"" 		 

Jewel of Desert Topaz Ice Plant 		 Delosperma cooperi 'Jewel of Desert Topaz' 		 USPP #23492. Patented. Propagation prohibited. Low-growing succulent. Profuse amber flowers with white eye. Sun; low water, well-drained soil. Zones 4-10. 		 DelTopaz 		 4-6" h x 8" w, amber"" 		 

Jewel of Desert Garnet Ice Plant 		 Delosperma cooperi 'Jewel of Desert Garnet' 		 USPP #23471. Patented. Propagation prohibited. Low-growing succulent. Profuse deep red-pink flowers. Sun; low water, well-drained soil. Zones 4-10. 		 DelGarnet 		 4-6" h x 8" w, garnet" 		 

Everoro Sedge 		 Carex oshimensis EverColor (R) 'Everoro' 		 USPP #23406. Patented. Propagation prohibited. Mounding green & gold to 18" h x 12" w. Sun at coast to part shade inland. Moist, well-drained soil. Zones 5-10. 		 CarEverOro 		 18" h x 12" w"""" 		 

Eversheen Sedge 		 Carex EverColor (R) 'Eversheen' 		 USPPP. Propagation prohibited. Mounding lime & green to 16" h x w. Sun at coast to part shade inland. Moist, well-drained soil. Zones 5-10. 		 CarEverShn 		 16" h x w, variegated" 		 

Shorty Spurge 		 Euphorbia characias ssp. wulfenii 'Shorty' 		 USPP #19808. Patented. Propagation prohibited. Blue leaves with bright yellow bloom. Compact 24-36" h x 12" w. Sun to part shade, well-drained soil. Zones 5-10. 		 EuphShorty 		 24-36" h x 12" w"""" 		 

Silvery Blue Russian Sage 		 Perovskia atriplicifolia 'Lissvery' Silvery Blue 		 USPPP. Propagation prohibited. Silvery leaves; lavender-blue bloom. Grows to 20" h x 18" w. Sun, well-drained soil, low water. Drought tolerant.Zones 6-10. 		 PerSilvBlu 		 20" h x 18" w"""" 		 

Eveline Sage 		 Salvia 'Eveline' 		 USPP #14905. Patented. Propagation prohibited. Clear pink blooms, fragrant leaves. 12-24" h x 18" w. Sun, well-drained soil, low water. Zones 5-10. 		 SalvEvelin 		 12-24" h x 18" w"""" 		 

Real Galaxy Shasta Daisy 		 Leucanthemum x superbum 'Real Galaxy' 		 USPPP. Propagation prohibited. Fringed & fluffy white bloom,with yellow center. Good cut flower. Sun; fertile, well-drained soil. Grows to 22" h x 18" w. Zones 5-10. 		 LeucGalaxy 		 22" h x 18" w; frizzy" 		 

Real Neat Shasta Daisy 		 Leucanthemum x superbum 'Real Neat' 		 USPPP. Propagation prohibited. Fluted, trumpet-like white petals surround yellow center. Good cut flower. Sun; fertile, well-drained soil. Grows to 16" h x 14" w. Zones 5 		 LeucRealNt 		 16" h x 14" w; quilled 		 

Scent First Raspberry Surprise Pink 		 Dianthus 'Devon Yolande' Raspberry Surprise 		 USPP #16029. Patented. Propagation prohibited. Fragrant double pink with red center. Full sun, well-drained soil. Grows 6" h x 12" w. Zones 4-10. 		 DiantRaspS 		 6" h x 12" w, pink"""" 		 

Nifty Thrifty Sea Pink 		 Armeria maritima 'Nifty Thrifty' 		 Low mound of green and white striped leaves topped with deep pink pom poms. Sun, low water, very well-drained soil; tolerates seasides.  Grows 4-6" h x 6" w. Zones 3-10. 		 ArmNiftThr 		 4-6" h x 6" w, pink""" 		 

Ellagance Purple English Lavender 		 Lavandula angustifolia 'Ellagance Purple' 		 Compact grower to 12" h x 10" w. Deep violet-blue bloom; fragrant leaves. Sun, low water, well-drained soil. Lightly prune for best shape. Deer-resistant. Zones 5-10. 		 LavEllPurp 		 12" h x 10" w, purple" 		 

Roundleaf Echeveria 		 Echeveria 'Roundleaf' 		 Thick, fleshy, rounded tear-drop leaves are silvery blue-gray blushed with rosy-purple. Grows 9-12" h x w. Sun to part-sun, low water, well-drained soil. Zones 9-11. 		 EchRndLf 		 9-12" h x w"""" 		 

Tomales Bay Fescue 		 Festuca idahoensis 'Tomales Bay' 		 CA native grass grows to 12" h x w; higher in bloom. Blue-gray leaves form clumps. Sun to part sun, well-drained soil; likes some summer water. Zones 7-10. 		 FestTomBay 		 12-18" h x 12" w"""" 		 

Chalk Sticks 		 Senecio mandraliscae 		 Blue finger-like leaves make nice contrast. Insignificant flowers. Grows to 1-2' h x 2-3' w. Prefers full sun; tolerates light shade. Low to moderate water. Zones 9-12. 		 SenMan 		 1-2' h x 2-3' w"""" 		 

Knight Rider Stonecrop 		 Sedum 'Knight Rider' 		 USPPP. Propagation prohibited. Upright to 20-24" h x 18" w. Coral-red bloom over deep purple-black leaves. Sun; low water. Zones 4-9. 		 SedKnightR 		 20-24" h x 18" w"""" 		 

California Buckwheat 		 Eriogonum fasciculatum - Creston 		 Creston, CA native. Forms clump 1-3' high x 4' wide. Dark green-gray narrow leaves. Pinkish flowers late spring - early fall. Full sun; little water. Zones 7-10. 		 EriogFasCr 		 1-3' h x 4' w"""" 		 

Scarlet Bugler 		 Penstemon centranthifolius 		 California native. Large gray leaves. 2-4' flower spike w/ scarlet, tubular flowers. Attracts hummingbirds. Full sun; low water; well-drained soil. Zones 6-10. 		 PenstCent 		 2-4' flower spike"""" 		 

Fine Green Leaf Stonecrop 		 Sedum "Fine Green Leaf" 		 Green reverted version of Sedum 'Fine Gold Leaf'. Ultra-low grower under 2" & spreading. Sun to part shade; low water; well-drained soil. Zones 9-11. 		 SedFinGrn 		 to 2" tall & spreading 		 

Giant Velvet Rose 		 Aeonium canariense x 		 Open-pollinated with some variability from parent plant. Slightly fuzzy leaves. Large rosettes form clumps to 2' h x 3' w. Sun to part sun. Low water. Zones 9-11. 		 AeonCan 		 clumps to 2' h x 3' w" 		 

Variegated Candle Plant 		 Senecio articulatus 'Variegata' 		 Stunning color ranges from blue-gray to white, pink, and purple. Main stalks look like candles. Stinky flowers. Part sun; low water; well-drained soil. Zones 9-11. 		 SenArtVar 		 18" h; will fall over" 		 

Aloe 		 Aloe rivae 		 East African origin. Single rosette sends up a 2-3' flower spike of salmon-pink-red blooms. Sun to light shade; low water; well-drained soil. Zones 9b-11. 		 AloeRiv 		 2-3' flower spike"""" 		 

Heatwave TM Brilliance Autumn Sage 		 Salvia x Heatwave TM 'Brilliance' 		 PPAF. Propagation prohibited. Showy magenta-purple bloom over bright green leaves. 30-36" h x w. Sun to part shade; moderate water. Zones 6-10. 		 SalvHWBril 		 30-36" h x w"""" 		 

Heatwave TM Blaze Autumn Sage 		 Salvia x Heatwave TM 'Blaze' 		 USPP 24151. Propagation prohibited. Showy crimson bloom over bright green leaves.  30-36" h x w. Sun to part shade; moderate water. Zones 6-10. 		 SalvHWBlz 		 30-36" h x w"""" 		 

Emerald Spring Hen & Chicks 		 Sempervivum (Jovibarba) 'Emerald Spring' 		 AKA "Rollers" because the chicks roll off. Tiny green & red rosettes under 3" high & spreading. Sun, low water, well-drained soil. Drought tolerant. Zones 4-10. 		 SempEmSpr 		 under 3" h, spreading" 		 

Jewel of Desert Grenade Ice Plant 		 Delosperma cooperi 'Jewel of Desert Grenade' 		 PPAF.  Propagation prohibited. Low-grower blooms spring to frost. Orange-red & lavender bloom. Sun, low water, well-drained soil. Zones 5-10. 		 DelGren 		 4-6" h x 8" w"""" 		 

Wheels of Wonder Golden Ice Plant 		 Delosperma nubigenum 'WOWD20111' Golden Wonder 		 USPPP. Propagation prohibited. Low grower with vibrant gold bloom. Sun, low water, well-drained soil. Zones 5-10. 		 DelGolden 		 4-6" h x 24" w"""" 		 

Wheels of Wonder Fire Ice Plant 		 Delosperma nubigenum 'WOWDAY2' Fire Wonder 		 USPPP. Propagation prohibited. Low grower with vibrant red & orange bloom. Sun, low water, well-drained soil. Zones 5-10. 		 DelFire 		 4-6" h x 24" w"""" 		 

Wheels of Wonder Violet Ice Plant 		 Delosperma nubigenum 'WOWDRW5Æ Violet Wonder 		 USPPP. Propagation prohibited. Low grower with violet & white bloom. Sun, low water, well-drained soil. Zones 5-10. 		 DelViolet 		 4-6" h x 24" w"""" 		 

Averill Hen & Chicks 		 Sempervivum 'Averill' 		 Blue-green rosettes tint red-burgundy in cold weather & heat stress. Pink bloom. Grows 2-4" h & spreads. Sun, low water, well-drained soil. Drought tolerant. Zones 4-10. 		 SempAvrl 		 2-4" h & spreading"""" 		 

Blue Boy Hen & Chicks 		 Sempervivum 'Blue Boy' 		 Powdery blue-gray blushed with mauve. Medium-sized rosettes to 4" h & spreading. Pink bloom. Sun, low water, well-drained soil. Drought tolerant. Zones 3-10. 		 SempBluB 		 to 4" h & spreading""" 		 

Cherry Frost Hen & Chicks 		 Sempervivum 'Cherry Frost' 		 Cherry-red rosettes, especially in winter, greening in summer. To 4" h & spreading. Pink bloom. Sun, low water, well-drained soil. Drought tolerant. Zones 4-9. 		 SempChrF 		 to 4" h & spreading""" 		 

Lavender & Old Lace Hen & Chicks 		 Sempervivum 'Lavender & Old Lace' 		 Silvery lavender-rose rosettes blush darker in cold weather. To 4" h & spreading. Pink bloom. Sun, low water, well-drained soil. Drought tolerant. Zones 4-10. 		 SempLavLc 		 to 4" h & spreading""" 		 

Purple Passion Hen & Chicks 		 Sempervivum 'Purple Passion' 		 Light violet-purple leaves lean toward green in warm weather. To 4" h & spreading. Pink bloom. Sun, low water, well-drained soil. Drought tolerant. Zones 4-10. 		 SempPurpPs 		 to 4" h & spreading""" 		 

Southern Belle Sundrops 		 Calylophus drumondii 'Southern Belle' 		 Profuse sunny yellow flowers. Low grower to 12-14". Sun, low water, well-drained soil. Drought tolerant. Zones 8-11. 		 CalSouthBel 		 12-14" h x w"""" 		 

Wayne's Brain Stonecrop 		 Sedum rupestre 'Wayne's Brain' 		 Tightly crested and brainy-looking, but hasn't been IQ tested. Lower growing up to 4-6" h. Prefers sun, low water, well-drained soil. Drought tolerant. Zones 4-10. 		 SedWayneBr 		 4-6" h & spreading"""" 		 

Ruffled Red Echeveria 		 Echeveria 'Ruffled Red' 		 A Kelly Griffin selection. 8" rosette of ruffled, crinkled, and bumpy gray & red leaves. Sun to part sun; best color in sun. Low water, well-drained soil. Zones 9-11. 		 EchRuffR 		 8-12" h x w"""" 		 

Echeveria 		 Echeveria subrigida 		 Large, gray-green rosettes with orange-red margins grow to 12-15". Coral blooms. Sun to part sun, low water, well-drained soil. Zones 9-11. 		 EchSub 		 12-15" h x w"""" 		 

Aloe Hybrid 		 Aloe X speciosa x mawii x munchii 		 Nick D. hybridizer. Seed parent can grow to 10'; blue-green leaves. Pollen parents grow 6' up to 15'. Likely a range of flowers. Part sun; low water. Zones 9b-11. 		 AloeSpxM 		 likely tall 6-15' h""" 		 

Ember Glow Torch Lily 		 Kniphofia 'Ember Glow' 		 USPP #23000. Propagation prohibited. 16" h x w; bloom to 24". Bicolor orange & yellow bloom. Sun; low to moderate water. Zones 6-9. 		 KniphEmGl 		 16" h x w; bloom 24""" 		 

Aeonium Hybrid 		 Aeonium x 'Starburst' Hybrid 		 Aeonium 'Starburst' seed parent; open-pollinated. Large green rosettes with some red margins & striping; may show some variegation. Part sun; low water. Zones 9-11. 		 AeonXStrb 		 open-poll; 12-18" HxW" 		 

Golden Elephant Bush 		 Portulacaria afra 'Aurea' 		 Favorite food of elephants in Namibia. Gold to chartreuse leaves on red stems. Mounds to 1'+ h x 3-4' w. Sun to part sun, low water, well-drained soil. Zones 9b-11. 		 PortAfAur 		 ~1' h x 3-4' w"""" 		 

Pink Caprice Lantana 		 Lantana camara 'Pink Caprice' 		 Shrubby plant grows to 3' h x 4' w. Pink & yellow blooms attract butterflies. Prefers full sun; low to moderate water; well-drained soil. Low maintenance. Zones 9-11. 		 LantPinkC 		 to 3' h x 4' w"""" 		 

Homestead Pink Verbena 		 Verbena (Glandularia) x 'Homestead Pink' 		 Vibrant pink blooms over a long season. Grows 6-12" h x 1-2' w. Attracts butterflies. Prefers sun; moderate water. Easy to grow. Tolerates heat well. Zones 7-10. 		 VerbHPink 		 6-12" h x 1-2' w"""" 		 

Bulgaria Hen & Chicks 		 Sempervivum (Jovibarba) 'Bulgaria' 		 AKA "Rollers" because the chicks roll off. Blue-green leaves in summer turning dark purple in winter. Rosettes to 3". Sun, low water, well-drained soil. Zones 4-10. 		 SempBulg 		 3" rosettes, spreading 		 

Pink Santa Barbara Daisy 		 Erigeron karvinskianus 'Moerheimii' 		 More compact than the regular version & tends not to reseed. Long bloom season. Grows to 1' h x 2-3' w. Sun; low maintenance; moderate water. Zones 8-10. 		 ErigMoer 		 12" h x 2-3" w"""" 		 

Wilma Goldcrest Cypress 		 Cupressus macrocarpa 'Wilma Goldcrest' 		 Stunning chartreuse, fragrant foliage. Columnar form. Slow grower to 6-15' h x 1-2' w. Prefers sun; low to moderate water. Drought tolerant when established. Zones 7-10. 		 CupWilmGld 		 6-15' h x 1-2' w, slow 		 

Black Pearl Spurge 		 Euphorbia characias 'Black Pearl' 		 Gray-green leaves topped by chartreuse flowers with near-black centers. Striking contrast. Grows 2-3' h x w. Sun, low water, well-drained soil. Zones 7-10. 		 EuphBlkPrl 		 2-3' h x w"""" 		 

Wavy Echeveria 		 Echeveria subrigida 'Wavy' 		 Blue-gray leaves with wavy-curly red margins. Prefers sun, low water, well-drained soil. Drought and heat tolerant. Grows to 18" h. Nice accent plant. Zones 9b-11. 		 EchWavy 		 to 18" high in bloom"" 		 

Blue Emperor Agave 		 Agave 'Blue Emperor' 		 Powder-blue leaves with near-black margins and tips. Grows to 3' h x 2' w. Prefers sun, low water, well-drained soil. Drought tolerant & heat tolerant. Zones 8b-11. 		 AgaveBEmp 		 to 3' h x 2' w"""" 		 

Cow's Horn Agave 		 Agave bovicornuta 		 Fairly fast-growing plant reaches up to 3' h x 4-5' w. Broad, dark green leaves with reddish teeth & tips. Sun to part sun, low water, well-drained soil. Zones 9-11. 		 AgaveBovi 		 to 3' h x 4-5' w"""" 		 

California Buckwheat 		 Eriogonum fasciculatum - Reservoir Cyn 		 Reservoir Canyon collected. Forms clump 1-3' high x 4' wide. Dark green-gray narrow leaves. Pinkish flowers late spring - early fall. Full sun; little water. Zones 7-10. 		 EriogFasRC 		 1-3' h x 4- w"""" 		 

SLO Black Sage 		 Salvia mellifera - Reservoir Cyn 		 Evergreen collected near San Luis Obispo, CA. Grows 3-6' tall x 3-5' wide. Bright green, slightly bumpy leaves. Whitish flowers. Full sun; little water. Zones 7-10. 		 SalvMelRC 		 3-6' h x 3-5' w"""" 		 

Valley Oak 		 Quercus lobata - Templeton 		 Deciduous tree; collected in Templeton, CA. 70' or taller & wide. Tolerates heat, sun, drought, alkaline soil. Can grow 2-3' per year w/adequate water. Zones 5-10. 		 QuercLobTtn 		 70'+ h x 50-70' w"""" 		 

Christmas Carol Aloe 		 Aloe 'Christmas Carol' 		 A Kelly Griffin hybrid. Compact & colorful; stays under 12" h x w, including bloom. Deep green with bold red. Part sun outside or indoor plant; low water. Zones 9b-11. 		 AloeChrCar 		 under 12" h x w"""" 		 

Golden Torch Aloe 		 Aloe arborescens 'Lutea' 		 Spectacular multi-branching form slowly reaches 3-5' h x 4-5' wide with large yellow blooms above foliage. Sun to part sun; low water; well-drained soil. Zones 9-11. 		 AloeArbLut 		 3-5' h w/bloom x 4-5'w 		 

Brittlebush 		 Encelia farinosa 		 Small shrub grows to 3' h x w. Silver-gray foliage with profuse yellow bloom. Sun, low to no water; well-drained soil. Bird & butterfly food source. Zones 8-10. 		 EncFar 		 to 3' h x w; yellow""" 		 

Ragged Point Blueblossom 		 Ceanothus thyrsiflorus - Ragged Pt. 		 Ragged Pt, CA collected. Grows 3'-18' high depending on conditions. Prefers part shade inland. Flowers in a range of blues. Low water; well-drained soil. Zones 8-10. 		 CeanThyrRP 		 from 3-18' h depending 		 

Norfolk Island Hibiscus 		 Lagunaria patersonia 		 Australian native tree grows 20-30' h. Pink bloom. Fine hairs on seed pods can be irritating. Sun, low water, well-drained soil. Drought & salt tolerant. Zones 9-11. 		 LaguPat 		 20-30' h; pink bloom"" 		 

Homestead Red Verbena 		 Verbena (Glandularia) x 'Homestead Red' 		 Brilliant red blooms over a long season. Grows 6-8" h x 1-2'+ w. Attracts butterflies. Prefers sun; moderate water. Easy to grow. Tolerates heat well. Zones 7-10. 		 VerbHRed 		 6-8" h x 1-3' w, red"" 		 

Ox Tongue Hybrid 		 Gasteria x 		 Assortment of colors and textures. Prefers bright light but NOT full sun, low water, well-drained soil. Good houseplant or outdoors in protected area. Zones 10-12. 		 GastHyb 		 various sizes & colors 		 

Silver Lining Agave 		 Agave sebastiana 'Silver Lining' 		 Broad silver gray leaves with red-orange teeth and tips. Grows 2' to 3' h x w, sun, low water, well drained soil. Drought tolerant. Zones 9-11 		 AgaveSilLin 		 2-3' h x w slow grow"" 		 

Woollypod Milkweed 		 Asclepias eriocarpa 		 Santa Margarita CA native. Monarch butterfly food source. Broad, fuzzy silver leaves. Sun, very low water, well drained soil. Grows to 3' h. Winter dormant. Zones 4-10 		 AsclErio 		 3' h; monarch plant""" 		 

Ebony Echeveria 		 Echeveria agavoides 'Ebony' 		 Rosettes of pale green tipped in deep burgundy make a striking contrast. Red & yellow bloom. Sun at coast; part shade inland. Low water, well-drained soil. Zones 9-12. 		 EchEbony 		 under 12" h x w"""" 		 

Blue Flame Agave 		 Agave 'Blue Flame' 		 Flame-shaped blue-gray leaves form large rosettes to 2-3' and clumps up to 8-10' w. Thin red-brown leaf margin. Sun, well-drained soil, low water. Zones 9-11. 		 AgaveBluFlm 		 2-3' rosettes, spreads 		 

Dot Wells Thyme 		 Thymus vulgaris 'Dot Wells' 		 Popular culinary herb with strong flavor & fragrance. Grows 6-12" h x w. Best flavor before flowering. Sun, low to moderate water, well-drained soil. Zones 4-10. 		 ThymDotWls 		 6-12" h x w, edible""" 		 

Threadleaf Agave 		 Agave filifera ssp. schidigera 		 Slow growing & spiny, 2'-3' rosettes. Leaves edged w/ white "threads". Sun, low water, well-drained soil. Flower spike to 7'+. Zones 8b-11. 		 AgavFiliSch 		 2-3' rosettes"""" 		 

Dwarf Butterfly Agave 		 Agave potatorum 'Kichijokan Variegated' 		 Beautiful blue-gray & cream variegated form with red-orange teeth. Slow grower., Sun, low water, well-drained soil. Zones 9-11. 		 AgavPotKV 		 slow grower, cute"""" 		 

White Cloud Echeveria 		 Echeveria cante 'White Cloud' 		 PPAF Propagation prohibited. Silver-white leaves form rosettes to 1' h x 1-2' w. Pink bloom. Sun, low water, well-drained soil. Zones 9-11 		 EcheCanClou 		 rosettes 1' h x 1-2' w 		 

Frills Galore Echeveria 		 Echeveria gibbiflora x 'Frills Galore' 		 New introduction. Frilled and ruffled rosettes to 1' h x w. Sun, low water, well-drained soil. Zones 9-11 		 EcheGibFril 		 rosettes 1' h x w"""" 		 

Blue Ember Agave 		 Agave hybrid 'Blue Ember' 		 Blue-gray leaves edged in burgundy with distinct leaf imprints. Mid-sized plant. Sun, low water, well-drained soil. Zones 9b-11. 		 AgavBluEmb 		 mid-size agave"""" 		 

